Name;HZ Gas;
AKS;ngd_:rend_:00024:24768:gas:002:m3:hz;
Einheit;kW;
01.01.2024 00:00;;
01.01.2024 00:15;7,23;
01.01.2024 00:30;8,75;
01.01.2024 00:45;8,74;
01.01.2024 01:00;5,00;
01.01.2024 01:15;5,77;
01.01.2024 01:30;4,25;
01.01.2024 01:45;7,48;
01.01.2024 02:00;8,75;
01.01.2024 02:15;7,52;
01.01.2024 02:30;4,01;
01.01.2024 02:45;5,73;
01.01.2024 03:00;7,25;
01.01.2024 03:15;8,75;
01.01.2024 03:30;6,76;
01.01.2024 03:45;5,48;
01.01.2024 04:00;5,51;
01.01.2024 04:15;6,75;
01.01.2024 04:30;8,50;
01.01.2024 04:45;5,01;
01.01.2024 05:00;5,49;
01.01.2024 05:15;8,50;
01.01.2024 05:30;7,74;
01.01.2024 05:45;4,26;
01.01.2024 06:00;5,99;
01.01.2024 06:15;8,76;
01.01.2024 06:30;4,77;
01.01.2024 06:45;6,48;
01.01.2024 07:00;8,99;
01.01.2024 07:15;5,52;
01.01.2024 07:30;4,50;
01.01.2024 07:45;7,99;
01.01.2024 08:00;7,75;
01.01.2024 08:15;6,26;
01.01.2024 08:30;4,01;
01.01.2024 08:45;5,99;
01.01.2024 09:00;8,49;
01.01.2024 09:15;7,76;
01.01.2024 09:30;4,74;
01.01.2024 09:45;4,51;
01.01.2024 10:00;6,74;
01.01.2024 10:15;8,99;
01.01.2024 10:30;7,26;
01.01.2024 10:45;5,76;
01.01.2024 11:00;9,99;
01.01.2024 11:15;9,99;
01.01.2024 11:30;7,51;
01.01.2024 11:45;6,01;
01.01.2024 12:00;6,25;
01.01.2024 12:15;6,49;
01.01.2024 12:30;6,74;
01.01.2024 12:45;4,75;
01.01.2024 13:00;7,75;
01.01.2024 13:15;8,75;
01.01.2024 13:30;6,02;
01.01.2024 13:45;4,99;
01.01.2024 14:00;5,26;
01.01.2024 14:15;7,74;
01.01.2024 14:30;7,75;
01.01.2024 14:45;5,26;
01.01.2024 15:00;4,74;
01.01.2024 15:15;6,75;
01.01.2024 15:30;6,51;
01.01.2024 15:45;7,99;
01.01.2024 16:00;8,26;
01.01.2024 16:15;4,75;
01.01.2024 16:30;5,25;
01.01.2024 16:45;4,49;
01.01.2024 17:00;7,00;
01.01.2024 17:15;9,50;
01.01.2024 17:30;8,26;
01.01.2024 17:45;5,00;
01.01.2024 18:00;5,26;
01.01.2024 18:15;8,98;
01.01.2024 18:30;8,75;
01.01.2024 18:45;7,50;
01.01.2024 19:00;4,26;
01.01.2024 19:15;7,23;
01.01.2024 19:30;8,02;
01.01.2024 19:45;4,76;
01.01.2024 20:00;4,98;
01.01.2024 20:15;8,74;
01.01.2024 20:30;8,75;
01.01.2024 20:45;4,27;
01.01.2024 21:00;5,25;
01.01.2024 21:15;5,50;
01.01.2024 21:30;4,25;
01.01.2024 21:45;9,48;
01.01.2024 22:00;8,75;
01.01.2024 22:15;6,52;
01.01.2024 22:30;5,00;
